Hour,Load_MW,Generation_MW,StorageCharge_MW,StorageDischarge_MW,TransmissionLoss_MW,LoadShedding_MW,Curtailment_MW,AvgLMP_LoadWeighted,TotalEmissions_ton
1,1312.553667214698,1060.1092683742227,0.0,153.125,0.0,0.0,-1.4210854715202004e-14,17.416554731749304,65.8768
2,1265.5940990127729,1186.7157434734547,0.0,78.87835553931801,0.0,0.0,0.0,31.40721612441091,192.91333333333333
3,1225.2690036073536,1205.2362203705566,29.478398068473314,49.511181305270426,0.0,0.0,-2.1316282072803006e-14,31.407216124410912,215.13187041804724
4,1194.3264696099493,1200.3467115233389,20.86009770465796,14.839855791268409,0.0,0.0,-7.105427357601002e-15,31.407216124410894,216.85062821267093
5,1174.8751795775272,1179.728839539681,15.891886229755674,11.038226267601804,0.0,0.0,-7.105427357601002e-15,31.4072161244109,204.24239999999998
6,1168.240706781021,1165.4446103482596,0.4362846637800932,3.2323810965414848,0.0,0.0,-1.4210854715202004e-14,31.407216124410905,194.69545283906422
7,1174.8751795775272,1219.5540326584,44.67885308087295,0.0,0.0,0.0,-9.353628982466944e-15,16.663317410470537,65.8768
8,1194.3264696099493,1238.7598547063023,44.4333850963531,0.0,0.0,0.0,1.2434497875801753e-14,16.663317410470537,65.8768
9,1225.2690036073536,1265.1524744102057,39.883470802852074,0.0,0.0,0.0,1.865174681370263e-14,16.663317410470544,65.8768
10,1265.5940990127729,1363.5883156743257,105.36858590804817,7.374369246495263,0.0,0.0,-1.787459069646502e-14,16.280962907441022,65.8768
11,1312.553667214698,1381.7542315877627,84.67019613027215,15.469631757207605,0.0,0.0,4.618527782440651e-14,15.986447525563962,65.8768
12,1362.9474912445246,1397.4088751925058,51.939494621921604,17.47811067394065,0.0,0.0,3.233047256092213,16.18265962306334,65.8768
13,1413.3413152743508,1454.5359181621138,55.29786616595012,14.103263278186999,0.0,0.0,4.618527782440651e-14,16.30297875139989,65.8768
14,1460.300883476276,1464.4476336496891,20.677830256038973,16.531080082625724,0.0,0.0,-2.3203661214665772e-14,16.83811660743301,65.8768
15,1500.6259788816953,1492.6155626322093,11.82346917488273,19.833885424368813,0.0,0.0,-4.796163466380676e-14,16.838116607433008,65.8768
16,1531.5685128791001,1519.9336913683524,11.648172650790656,23.282994161538102,0.0,0.0,5.329070518200751e-15,16.82637316658122,65.8768
17,1551.0198029115213,1538.3214905214882,1.6666666666666665,14.364979056699928,0.0,0.0,1.8207657603852567e-14,31.039542538267767,226.97022645305816
18,1557.6542757080279,1557.654275708028,0.0,0.0,0.0,0.0,1.2131163310118222e-13,32.110696008692294,468.5808926759754
19,1551.0198029115213,1455.5228847600506,0.0,95.4969181514709,0.0,0.0,-7.105427357601002e-15,32.11069600869227,394.0120633088012
20,1531.5685128791001,1435.9435128791001,0.0,95.625,0.0,0.0,-7.105427357601002e-15,32.11069600869228,377.3756142386945
21,1500.6259788816953,1423.3366630271835,0.0,77.28931585451177,0.0,0.0,-2.1316282072803006e-14,32.11069600869228,367.8670336263971
