Line,From_bus,To_bus,From_zone,To_zone,Hour,Flow_MW,LineLoss_MW,Limit_MW,Loading_pct,ShadowPrice,BindingSide,CongestionRent
1,1,2,Z1,Z1,1,14.452628337019906,0.0,175.0,8.258644764011374,0.0,None,0.11398996320302077
1,1,2,Z1,Z1,2,-35.812212138330864,0.0,175.0,20.46412122190335,0.0,None,-3.682873097900136
1,1,2,Z1,Z1,3,-60.38039611045351,0.0,175.0,34.50308349168772,0.0,None,-6.209427544346392
1,1,2,Z1,Z1,4,-59.75849777423716,0.0,175.0,34.14771301384981,0.0,None,-6.145472471053714
1,1,2,Z1,Z1,5,-65.94212913060835,0.0,175.0,37.68121664606192,0.0,None,-6.781387657799032
1,1,2,Z1,Z1,6,-36.48131401167044,0.0,175.0,20.84646514952597,0.0,None,-3.751682510721359
1,1,2,Z1,Z1,7,1.2461507331369361,0.0,175.0,0.7120861332211064,0.0,None,2.8552372038486102
1,1,2,Z1,Z1,8,2.9925298465700543,0.0,175.0,1.7100170551828882,0.0,None,6.856620410634765
1,1,2,Z1,Z1,9,6.397398753097303,0.0,175.0,3.6556564303413155,0.0,None,14.658010818415912
1,1,2,Z1,Z1,10,-1.2213116295136022,0.0,175.0,0.6978923597220583,0.0,None,-2.896188124314139
1,1,2,Z1,Z1,11,-9.35528880123744,0.0,175.0,5.345879314992824,0.0,None,-22.184899964035893
1,1,2,Z1,Z1,12,4.995403542562537,0.0,175.0,2.8545163100357356,0.0,None,11.557579161136504
1,1,2,Z1,Z1,13,6.055386059253246,0.0,175.0,3.4602206052875695,0.0,None,14.332051797755602
1,1,2,Z1,Z1,14,7.151455475551146,0.0,175.0,4.086545986029226,0.0,None,16.711909183670766
1,1,2,Z1,Z1,15,6.572192862898266,0.0,175.0,3.7555387787990093,0.0,None,15.358256880409416
1,1,2,Z1,Z1,16,4.985748050277316,0.0,175.0,2.848998885872752,0.0,None,11.70563782440993
1,1,2,Z1,Z1,17,-18.27012274345794,0.0,175.0,10.440070139118822,0.0,None,-1.8788714667306436
1,1,2,Z1,Z1,18,-2.07348626373809,0.0,175.0,1.1848492935646229,0.0,None,-0.23332562402252388
