Time Period,Month,Day,Hours,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,NI
1,1,1,1,0.3831705053924692,0.3952706266153893,0.4073707478383094,0.4194708690612295,0.3831705053924692,0.3952706266153893,0.4073707478383094,0.4194708690612295,0.3831705053924692,0.3952706266153893,0.4073707478383094,0.4194708690612295,0.3831705053924692,0.3952706266153893,0.0
1,1,1,2,0.37557807328211734,0.38743843349102636,0.3992987936999353,0.4111591539088443,0.37557807328211734,0.38743843349102636,0.3992987936999353,0.4111591539088443,0.37557807328211734,0.38743843349102636,0.3992987936999353,0.4111591539088443,0.37557807328211734,0.38743843349102636,0.0
1,1,1,3,0.36350025796467766,0.3749792134793517,0.38645816899402574,0.3979371245086998,0.36350025796467766,0.3749792134793517,0.38645816899402574,0.3979371245086998,0.36350025796467766,0.3749792134793517,0.38645816899402574,0.3979371245086998,0.36350025796467766,0.3749792134793517,0.0
1,1,1,4,0.34776014259450005,0.3587420418343264,0.36972394107415274,0.380705840313979,0.34776014259450005,0.3587420418343264,0.36972394107415274,0.380705840313979,0.34776014259450005,0.3587420418343264,0.36972394107415274,0.380705840313979,0.34776014259450005,0.3587420418343264,0.0
1,1,1,5,0.32943039002229163,0.339833454970364,0.35023651991843635,0.3606395848665087,0.32943039002229163,0.339833454970364,0.35023651991843635,0.3606395848665087,0.32943039002229163,0.339833454970364,0.35023651991843635,0.3606395848665087,0.32943039002229163,0.339833454970364,0.0
1,1,1,6,0.3097601425945,0.31954204183432633,0.3293239410741527,0.339105840313979,0.3097601425945,0.31954204183432633,0.3293239410741527,0.339105840313979,0.3097601425945,0.31954204183432633,0.3293239410741527,0.339105840313979,0.3097601425945,0.31954204183432633,0.0
1,1,1,7,0.29008989516670847,0.2992506286982887,0.308411362229869,0.3175720957614493,0.29008989516670847,0.2992506286982887,0.308411362229869,0.3175720957614493,0.29008989516670847,0.2992506286982887,0.308411362229869,0.3175720957614493,0.29008989516670847,0.2992506286982887,0.0
1,1,1,8,0.27176014259450004,0.28034204183432637,0.2889239410741527,0.29750584031397903,0.27176014259450004,0.28034204183432637,0.2889239410741527,0.29750584031397903,0.27176014259450004,0.28034204183432637,0.2889239410741527,0.29750584031397903,0.27176014259450004,0.28034204183432637,0.0
1,1,1,9,0.2560200272243224,0.264104870189301,0.27218971315427964,0.2802745561192582,0.2560200272243224,0.264104870189301,0.27218971315427964,0.2802745561192582,0.2560200272243224,0.264104870189301,0.27218971315427964,0.2802745561192582,0.2560200272243224,0.264104870189301,0.0
1,1,1,10,0.2439422119068827,0.25164565017762636,0.25934908844837,0.2670525267191137,0.2439422119068827,0.25164565017762636,0.25934908844837,0.2670525267191137,0.2439422119068827,0.25164565017762636,0.25934908844837,0.2670525267191137,0.2439422119068827,0.25164565017762636,0.0
