Month,Day,Period,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,NI
1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,0.24210769555319114,0.24720469967010042,0.2523017037870097,0.24210769555319114,0.24720469967010042,0.2523017037870097,0.24210769555319114,0.24720469967010042,0.2523017037870097,0.24210769555319114,0.24720469967010042,0.2523017037870097,0.24210769555319114,0.24720469967010042,0.0
1,1,8,0.46771615175631664,0.4775628075827654,0.4874094634092142,0.46771615175631664,0.4775628075827654,0.4874094634092142,0.46771615175631664,0.4775628075827654,0.4874094634092142,0.46771615175631664,0.4775628075827654,0.4874094634092142,0.46771615175631664,0.4775628075827654,0.0
1,1,9,0.6614505251547358,0.6753757993685197,0.6893010735823036,0.6614505251547358,0.6753757993685197,0.6893010735823036,0.6614505251547358,0.6753757993685197,0.6893010735823036,0.6614505251547358,0.6753757993685197,0.6893010735823036,0.6614505251547358,0.6753757993685197,0.0
1,1,10,0.8101081383625358,0.8271630465385893,0.8442179547146427,0.8101081383625358,0.8271630465385893,0.8442179547146427,0.8101081383625358,0.8271630465385893,0.8442179547146427,0.8101081383625358,0.8271630465385893,0.8442179547146427,0.8101081383625358,0.8271630465385893,0.0
1,1,11,0.903558220707927,0.9225804990386202,0.9416027773693134,0.903558220707927,0.9225804990386202,0.9416027773693134,0.903558220707927,0.9225804990386202,0.9416027773693134,0.903558220707927,0.9225804990386202,0.9416027773693134,0.903558220707927,0.9225804990386202,0.0
1,1,12,0.9354323035126334,0.955125615165531,0.9748189268184285,0.9354323035126334,0.955125615165531,0.9748189268184285,0.9354323035126334,0.955125615165531,0.9748189268184285,0.9354323035126334,0.955125615165531,0.9748189268184285,0.9354323035126334,0.955125615165531,0.0
1,1,13,0.903558220707927,0.9225804990386202,0.9416027773693134,0.903558220707927,0.9225804990386202,0.9416027773693134,0.903558220707927,0.9225804990386202,0.9416027773693134,0.903558220707927,0.9225804990386202,0.9416027773693134,0.903558220707927,0.9225804990386202,0.0
