Time Period,Month,Day,Hours,Z1,Z2,Z3,Z4,NI
1,2,1,1,0.45148003672588527,0.463038862945425,0.4616950302290382,0.4702096714779882,0.0
1,2,1,2,0.43532731999817437,0.44647260313620163,0.44517684906655774,0.4533868598181556,0.0
1,2,1,3,0.4214566676893455,0.4322468333325835,0.430992365332874,0.4389407839459687,0.0
1,2,1,4,0.4108133418319083,0.42133101623749125,0.42010822815347,0.42785592005884804,0.0
1,2,1,5,0.4041226674941197,0.4144690467467145,0.41326617349023465,0.420887683312097,0.0
1,2,1,6,0.4018406030752379,0.41212855674110915,0.41093247606143796,0.4185109475244513,0.0
1,2,1,7,0.4041226674941197,0.4144690467467145,0.41326617349023465,0.420887683312097,0.0
1,2,1,8,0.4108133418319083,0.42133101623749125,0.42010822815347,0.42785592005884804,0.0
1,2,1,9,0.4214566676893455,0.4322468333325835,0.430992365332874,0.4389407839459687,0.0
1,2,1,10,0.43532731999817437,0.44647260313620163,0.44517684906655774,0.4533868598181556,0.0
1,2,1,11,0.45148003672588527,0.463038862945425,0.4616950302290382,0.4702096714779882,0.0
1,2,1,12,0.46881403692111073,0.4808166495312941,0.4794212220716776,0.48826277211185987,0.0
1,2,1,13,0.4861480371163365,0.498594436117163,0.4971474139143169,0.5063158727457314,0.0
1,2,1,14,0.5023007538440473,0.5151606959263865,0.5136655950767973,0.523138684405564,0.0
1,2,1,15,0.5161714061528763,0.5293864657300046,0.5278500788104811,0.5375847602777509,0.0
1,2,1,16,0.5268147320103135,0.5403022828250968,0.5387342159898854,0.5486696241648717,0.0
1,2,1,17,0.5335054063481018,0.5471642523158734,0.5455762706531203,0.5556378609116226,0.0
1,2,1,18,0.5357874707669837,0.5495047423214788,0.5479099680819172,0.5580145966992683,0.0
1,2,1,19,0.5335054063481018,0.5471642523158734,0.5455762706531203,0.5556378609116226,0.0
1,2,1,20,0.5268147320103135,0.5403022828250968,0.5387342159898854,0.5486696241648717,0.0
1,2,1,21,0.5161714061528763,0.5293864657300046,0.5278500788104811,0.5375847602777509,0.0
1,2,1,22,0.5023007538440473,0.5151606959263865,0.5136655950767973,0.523138684405564,0.0
1,2,1,23,0.4861480371163365,0.498594436117163,0.4971474139143169,0.5063158727457314,0.0
1,2,1,24,0.46881403692111073,0.4808166495312941,0.4794212220716776,0.48826277211185987,0.0
1,2,2,1,0.4513003376963123,0.46285456324763724,0.46151126540636217,0.4700225176399733,0.0
1,2,2,2,0.4351540501067358,0.4462948971758312,0.4449996588449355,0.4532064018308629,0.0
1,2,2,3,0.42128891862398254,0.4320747895428977,0.4308208208491682,0.4387660758160434,0.0
1,2,2,4,0.41064982904538927,0.4211633171841823,0.4199410157968346,0.4276856239496577,0.0
1,2,2,5,0.4039618177438103,0.4143040789088706,0.41310168442252304,0.4207201607150874,0.0
1,2,2,6,0.40168066163698685,0.41196452046999804,0.4107689158568634,0.4183443709207965,0.0
1,2,2,7,0.4039618177438103,0.4143040789088706,0.41310168442252304,0.4207201607150874,0.0
1,2,2,8,0.41064982904538927,0.4211633171841823,0.4199410157968346,0.4276856239496577,0.0
1,2,2,9,0.42128891862398254,0.4320747895428977,0.4308208208491682,0.4387660758160434,0.0
1,2,2,10,0.4351540501067358,0.4462948971758312,0.4449996588449355,0.4532064018308629,0.0
