Bus_id,Zone_id,LoadZone,State,Latitude,Longitude,Load_share,Demand (MW)
1,NNE,VT,VT,43.685265700400635,-72.50317325513663,0.017792098463918722,47.873333333333335
2,NNE,VT,VT,43.93512767255456,-72.51331010396359,0.028444912209419936,59.412171507607184
3,NNE,VT,VT,44.56317575304085,-72.8388292080811,0.03698643425627371,103.23415265200518
4,Maine,ME,ME,44.309934347884266,-68.96213506013717,0.012343763505414655,26.037735849056602
5,Maine,ME,ME,44.65426910544976,-69.9668225237288,0.01219043902074936,28.246715328467154
6,Maine,ME,ME,45.29314316314274,-69.25834687806966,0.008084419890393962,19.47533281127643
7,Maine,ME,ME,45.42030861422039,-69.29409413332863,0.009235353872460314,20.23622508792497
8,Maine,ME,ME,44.44398370593803,-70.3457991953125,0.02840281076814522,70.24584103512015
9,Maine,ME,ME,43.888530968509286,-69.33589996872037,0.0051580960398952104,10.364140480591496
10,Maine,ME,ME,45.247646216082835,-68.87257302258823,0.008528243575144015,18.54378818737271
11,Maine,ME,ME,45.34752693246193,-68.5995212989898,0.010835603108567876,23.60530679933665
12,Maine,ME,ME,44.90420951578807,-68.33818882915084,0.002425630518646256,3.42078488372093
13,Maine,ME,ME,44.559214261754086,-68.48133515905175,0.009916086361078175,24.52692307692308
14,Maine,ME,ME,44.29448636478394,-68.61516901383345,0.008920560890514602,20.813886210221796
15,Maine,ME,ME,44.5708962474788,-68.61157042474727,0.008202300186584417,18.448913917940466
16,Maine,ME,ME,43.88409084512659,-69.21262605317497,0.004767138771168213,10.305185185185184
17,Maine,ME,ME,43.90682190513776,-69.76514122903818,0.011438833728831936,26.862820512820512
18,NNE,VT,VT,44.58814556852242,-72.4818325884357,0.03761247881177646,115.1875808538163
19,ROP,CT,CT,41.49309898801991,-72.4779926623093,0.03938802769339068,309.4992213185672
20,ROP,CT,CT,41.36474801353531,-72.65748611452159,0.021399159044326717,173.16968011126565
21,NNE,NH,NH,43.14921817180836,-71.14266963225049,0.05009277099711885,208.7598699489085
22,ROP,CT,CT,41.87359569506704,-72.70259243567334,0.008572620601079217,59.108190709046454
23,ROP,CT,CT,41.75068085716733,-72.63979465535841,0.012332253088093062,91.84260051325919
24,ROP,WCMA,MA,42.14747081032802,-72.14053730388716,0.0335759823866202,969.1552447552448
25,NNE,NH,NH,43.1883076602439,-71.52175150609183,0.039847413186493735,154.11622901420574
26,SENE,SEMA,MA,41.863374858910184,-70.62232820751733,0.02168090814247977,348.5011838989739
27,SENE,RI,RI,41.89031006229781,-71.47784549620388,0.0032356479091239622,39.39047619047619
28,SENE,NEMA/Boston,MA,42.18836825310348,-71.22457350888098,0.045978554527718804,308.90970350404314
