Month,Day,Period,Z1,Z2,Z3,Z4,NI
1,1,1,0.45195904285722877,0.46353013262815507,0.46218487414748566,0.4707085491632308,0.0
1,1,2,0.43578918860466415,0.44694629653786366,0.4456491677138706,0.4538678890288788,0.0
1,1,3,0.42190381996961657,0.4327054336395244,0.4314496346886886,0.4394064863241551,0.0
1,1,4,0.411249201877908,0.4217780352055205,0.4205539497817678,0.4283098617447887,0.0
1,1,5,0.40455142894489937,0.4149087853807494,0.41370463591354434,0.4213342319178241,0.0
1,1,6,0.4022669433273823,0.4125658121887973,0.41136846250511133,0.41895497448819585,0.0
1,1,7,0.40455142894489937,0.4149087853807494,0.41370463591354434,0.4213342319178241,0.0
1,1,8,0.411249201877908,0.4217780352055205,0.4205539497817678,0.4283098617447887,0.0
1,1,9,0.42190381996961657,0.4327054336395244,0.4314496346886886,0.4394064863241551,0.0
1,1,10,0.43578918860466415,0.44694629653786366,0.4456491677138706,0.4538678890288788,0.0
1,1,11,0.45195904285722877,0.46353013262815507,0.46218487414748566,0.4707085491632308,0.0
1,1,12,0.46931143388194596,0.4813267808869301,0.4799298729226298,0.4887808035695618,0.0
1,1,13,0.48666382490666305,0.4991234291457052,0.4976748716977741,0.5068530579758928,0.0
1,1,14,0.5028336791592278,0.5157072652359965,0.5142105781313892,0.5236937181102448,0.0
1,1,15,0.5167190477942755,0.5299481281343358,0.5284101111565712,0.5381551208149684,0.0
1,1,16,0.527373665885984,0.5408755265683399,0.539305796063492,0.5492517453943351,0.0
1,1,17,0.5340714388189925,0.5477447763931108,0.5461551099317153,0.5562273752212994,0.0
1,1,18,0.5363559244365097,0.5500877495850629,0.5484912833401484,0.5586066326509277,0.0
1,1,19,0.5340714388189925,0.5477447763931108,0.5461551099317153,0.5562273752212994,0.0
1,1,20,0.527373665885984,0.5408755265683399,0.539305796063492,0.5492517453943351,0.0
1,1,21,0.5167190477942755,0.5299481281343358,0.5284101111565712,0.5381551208149684,0.0
1,1,22,0.5028336791592278,0.5157072652359965,0.5142105781313892,0.5236937181102448,0.0
1,1,23,0.48666382490666305,0.4991234291457052,0.4976748716977741,0.5068530579758928,0.0
1,1,24,0.46931143388194596,0.4813267808869301,0.4799298729226298,0.4887808035695618,0.0
1,2,1,0.43401458259460257,0.4451262569298358,0.4438344102300144,0.4520196635457651,0.0
1,2,2,0.4184867318856627,0.429200861006695,0.4279552330366079,0.43584764045132457,0.0
1,2,3,0.4051526641917985,0.4155254134981425,0.4143194744510462,0.421960409389536,0.0
1,2,4,0.3949210741907581,0.4050318735521406,0.403856388886779,0.41130436220752603,0.0
1,2,5,0.38848922783261053,0.39843535857461443,0.3972790183339445,0.4046056909107978,0.0
1,2,6,0.3862954448175348,0.39618541016002623,0.3950355997260996,0.4023208988781457,0.0
1,2,7,0.38848922783261053,0.39843535857461443,0.3972790183339445,0.4046056909107978,0.0
1,2,8,0.3949210741907581,0.4050318735521406,0.403856388886779,0.41130436220752603,0.0
1,2,9,0.4051526641917985,0.4155254134981425,0.4143194744510462,0.421960409389536,0.0
1,2,10,0.4184867318856627,0.429200861006695,0.4279552330366079,0.43584764045132457,0.0
1,2,11,0.43401458259460257,0.4451262569298358,0.4438344102300144,0.4520196635457651,0.0
1,2,12,0.45067801895379067,0.462216311853364,0.4608748663471162,0.46937438202450343,0.0
1,2,13,0.46734145531297855,0.4793063667768919,0.4779153224642179,0.4867291005032416,0.0
1,2,14,0.4828693060219185,0.4952317627000327,0.4937944996576245,0.5029011235976822,0.0
1,2,15,0.49620337371578277,0.5089072102085853,0.5074302582431862,0.5167883546594707,0.0
1,2,16,0.5064349637168232,0.5194007501545872,0.5178933438074534,0.5274444018414809,0.0
1,2,17,0.5128668100749708,0.5259972651321134,0.5244707143602879,0.534143073138209,0.0
1,2,18,0.5150605930900465,0.5282472135467017,0.5267141329681327,0.536427865170861,0.0
1,2,19,0.5128668100749708,0.5259972651321134,0.5244707143602879,0.534143073138209,0.0
1,2,20,0.5064349637168232,0.5194007501545872,0.5178933438074534,0.5274444018414809,0.0
1,2,21,0.49620337371578277,0.5089072102085853,0.5074302582431862,0.5167883546594707,0.0
1,2,22,0.4828693060219185,0.4952317627000327,0.4937944996576245,0.5029011235976822,0.0
1,2,23,0.46734145531297855,0.4793063667768919,0.4779153224642179,0.4867291005032416,0.0
1,2,24,0.45067801895379067,0.462216311853364,0.4608748663471162,0.46937438202450343,0.0
1,3,1,0.43413872526338343,0.44525357790865944,0.44396136169752803,0.45214895626915363,0.0
1,3,2,0.41860643307043643,0.42932362679030045,0.4280776425290039,0.4359723074358853,0.0
1,3,3,0.4052685513877903,0.4156442676469352,0.41443798366098733,0.42208110416211325,0.0
1,3,4,0.39503403481022575,0.40514772619797446,0.40397190530473176,0.4114220089946463,0.0
1,3,5,0.38860034872916527,0.39854932439680957,0.3973926534042035,0.40472142165415964,0.0
1,3,6,0.38640593821886443,0.3962987324218158,0.395148593103696,0.40243597609466336,0.0
1,3,7,0.38860034872916527,0.39854932439680957,0.3973926534042035,0.40472142165415964,0.0
1,3,8,0.39503403481022575,0.40514772619797446,0.40397190530473176,0.4114220089946463,0.0
1,3,9,0.4052685513877903,0.4156442676469352,0.41443798366098733,0.42208110416211325,0.0
1,3,10,0.41860643307043643,0.42932362679030045,0.4280776425290039,0.4359723074358853,0.0
1,3,11,0.43413872526338343,0.44525357790865944,0.44396136169752803,0.45214895626915363,0.0
1,3,12,0.45080692792200844,0.4623485211587851,0.46100669195431193,0.46950863877710725,0.0
1,3,13,0.4674751305806335,0.4794434644089108,0.47805202221109583,0.4868683212850609,0.0
1,3,14,0.4830074227735805,0.4953734155272697,0.4939357413796199,0.5030449701183292,0.0
1,3,15,0.4963453044562267,0.509052774670635,0.5075754002476365,0.5169361733921013,0.0
1,3,16,0.5065798210337914,0.5195493161195958,0.5180414786038922,0.5275952685595681,0.0
1,3,17,0.5130135071148517,0.5261477179207605,0.5246207305044204,0.5342958559000549,0.0
1,3,18,0.5152079176251525,0.5283983098957544,0.5268647908049279,0.5365813014595512,0.0
1,3,19,0.5130135071148517,0.5261477179207605,0.5246207305044204,0.5342958559000549,0.0
1,3,20,0.5065798210337914,0.5195493161195958,0.5180414786038922,0.5275952685595681,0.0
