Month,Day,Hour,Z1,Z2,Z3,Z4,NI
1,1,1,0.7624158908539174,0.7624158908539174,0.762415890853917,0.7624158908539174,0.0
1,1,2,0.74587191927652,0.7458719192765201,0.7458719192765197,0.7458719192765199,0.0
1,1,3,0.7316652888114694,0.7316652888114696,0.7316652888114693,0.7316652888114694,0.0
1,1,4,0.720764157847392,0.7207641578473921,0.720764157847392,0.7207641578473919,0.0
1,1,5,0.7139114204445189,0.713911420444519,0.7139114204445188,0.713911420444519,0.0
1,1,6,0.7115740793321723,0.7115740793321723,0.7115740793321722,0.7115740793321723,0.0
1,1,7,0.7139114204445189,0.713911420444519,0.7139114204445188,0.713911420444519,0.0
1,1,8,0.720764157847392,0.7207641578473921,0.720764157847392,0.7207641578473919,0.0
1,1,9,0.7316652888114694,0.7316652888114696,0.7316652888114693,0.7316652888114694,0.0
1,1,10,0.74587191927652,0.7458719192765201,0.7458719192765197,0.7458719192765199,0.0
1,1,11,0.7624158908539174,0.7624158908539174,0.762415890853917,0.7624158908539174,0.0
1,1,12,0.7801697592208677,0.7801697592208677,0.7801697592208676,0.7801697592208677,0.0
1,1,13,0.797923627587818,0.797923627587818,0.7979236275878177,0.797923627587818,0.0
1,1,14,0.8144675991652154,0.8144675991652155,0.8144675991652154,0.814467599165215,0.0
1,1,15,0.8286742296302657,0.8286742296302659,0.8286742296302657,0.8286742296302658,0.0
1,1,16,0.839575360594343,0.839575360594343,0.8395753605943429,0.839575360594343,0.0
1,1,17,0.8464280979972161,0.8464280979972161,0.846428097997216,0.8464280979972161,0.0
1,1,18,0.848765439109563,0.848765439109563,0.8487654391095627,0.848765439109563,0.0
1,1,19,0.8464280979972161,0.8464280979972161,0.846428097997216,0.8464280979972161,0.0
1,1,20,0.839575360594343,0.839575360594343,0.8395753605943429,0.839575360594343,0.0
1,1,21,0.8286742296302657,0.8286742296302659,0.8286742296302657,0.8286742296302658,0.0
1,1,22,0.8144675991652154,0.8144675991652155,0.8144675991652154,0.814467599165215,0.0
1,1,23,0.797923627587818,0.797923627587818,0.7979236275878177,0.797923627587818,0.0
1,1,24,0.7801697592208677,0.7801697592208677,0.7801697592208676,0.7801697592208677,0.0
1,2,1,0.7440562547112762,0.7440562547112763,0.744056254711276,0.7440562547112762,0.0
1,2,2,0.7281691405311329,0.728169140531133,0.7281691405311328,0.7281691405311329,0.0
1,2,3,0.7145265663005462,0.7145265663005463,0.7145265663005461,0.7145265663005462,0.0
1,2,4,0.7040582509079107,0.704058250907911,0.7040582509079107,0.7040582509079106,0.0
1,2,5,0.6974775927475255,0.6974775927475254,0.6974775927475253,0.6974775927475253,0.0
1,2,6,0.6952330527979689,0.6952330527979689,0.6952330527979689,0.695233052797969,0.0
1,2,7,0.6974775927475255,0.6974775927475254,0.6974775927475253,0.6974775927475253,0.0
1,2,8,0.7040582509079107,0.704058250907911,0.7040582509079107,0.7040582509079106,0.0
1,2,9,0.7145265663005462,0.7145265663005463,0.7145265663005461,0.7145265663005462,0.0
1,2,10,0.7281691405311329,0.728169140531133,0.7281691405311328,0.7281691405311329,0.0
1,2,11,0.7440562547112762,0.7440562547112763,0.744056254711276,0.7440562547112762,0.0
1,2,12,0.7611052282642969,0.761105228264297,0.761105228264297,0.7611052282642968,0.0
1,2,13,0.7781542018173178,0.7781542018173178,0.7781542018173176,0.7781542018173178,0.0
1,2,14,0.7940413159974612,0.7940413159974612,0.794041315997461,0.7940413159974611,0.0
