Line,From_bus,To_bus,From_zone,To_zone,Hour,Flow_MW,Limit_MW,Loading_pct,ShadowPrice,BindingSide,CongestionRent
1,1,2,Z1,Z1,1,14.472148906489988,175.0,8.269799375137136,0.0,None,0.11414392474854096
1,1,2,Z1,Z1,2,-24.598491505472303,175.0,14.056280860269887,0.0,None,-2.529671226800996
1,1,2,Z1,Z1,3,-63.46743257123757,175.0,36.267104326421475,0.0,None,-6.5268936503144435
1,1,2,Z1,Z1,4,-66.29197567451286,175.0,37.88112895686449,0.0,None,-6.8173653410530655
1,1,2,Z1,Z1,5,-62.24180847016715,175.0,35.56674769723837,0.0,None,-6.400852343161488
1,1,2,Z1,Z1,6,-20.581210130202436,175.0,11.76069150297282,0.0,None,-2.1165401572505345
1,1,2,Z1,Z1,7,1.1753490813635565,175.0,0.6716280464934609,0.0,None,2.6930132409991114
1,1,2,Z1,Z1,8,-2.0975510952772893,175.0,1.1986006258727369,0.0,None,-4.8060044141955505
1,1,2,Z1,Z1,9,-8.972330935341516,175.0,5.12704624876658,0.0,None,-20.74444117721854
1,1,2,Z1,Z1,10,4.478398891844359,175.0,2.559085081053919,0.0,None,10.19888235105261
1,1,2,Z1,Z1,11,5.137061452070045,175.0,2.9354636868971684,0.0,None,11.517330121368753
1,1,2,Z1,Z1,12,6.239671438842837,175.0,3.565526536481621,0.0,None,13.989389942195526
1,1,2,Z1,Z1,13,7.001650707466332,175.0,4.000943261409333,0.0,None,15.697753150278094
1,1,2,Z1,Z1,14,6.685832002604325,175.0,3.820475430059614,0.0,None,14.87635549107076
1,1,2,Z1,Z1,15,6.549322393584221,175.0,3.742469939190984,0.0,None,14.350768839546852
1,1,2,Z1,Z1,16,5.4931410588583525,175.0,3.1389377479190586,0.0,None,12.586134486121768
1,1,2,Z1,Z1,17,-16.227028103240393,175.0,9.27258748756594,0.0,None,-2.098185832123643
1,1,2,Z1,Z1,18,-0.6585590982623959,175.0,0.37631948472136906,0.0,None,-0.07410645310028124
1,1,2,Z1,Z1,19,9.6859262700815,175.0,5.5348150114751435,0.0,None,1.0899396011086329
1,1,2,Z1,Z1,20,9.651495511348873,175.0,5.515140292199356,0.0,None,1.086065170683241
1,1,2,Z1,Z1,21,8.030352081547624,175.0,4.588772618027214,0.0,None,0.9036408599928616
1,1,2,Z1,Z1,22,2.8849540647841327,175.0,1.6485451798766473,0.0,None,0.3246386143058147
1,1,2,Z1,Z1,23,-7.496116836342015,175.0,4.283495335052581,0.0,None,-0.8435243431186654
